,
,
SHI-HAILONG,09:56:34
BILL-GATES,09:57:30
SHI-HAILONG,09:58:50
Unknown,10:00:05
SHI-HAILONG,10:00:07
Unknown,10:00:09
ELON-MUSK,10:00:11
SHI-HAILONG,10:00:35
JACK-MA,10:00:40
SHI-HAILONG,10:01:12
Unknown,10:01:24
SHI-HAILONG,10:01:26
Unknown,10:01:34
SHI-HAILONG,10:02:15
Unknown,10:02:50
SHI-HAILONG,10:03:04
Unknown,10:03:22
SHI-HAILONG,10:03:24
Unknown,10:03:26
SHI-HAILONG,10:03:30
Unknown,10:03:32
SHI-HAILONG,10:03:34
Unknown,10:04:05
SHI-HAILONG,10:04:31
Unknown,10:04:39
SHI-HAILONG,10:04:43
Unknown,10:08:28
SHI-HAILONG,10:08:30
JACK-MA,10:08:52
Unknown,10:08:54
JACK-MA,10:08:56
SHI-HAILONG,10:09:38
SHI-HAILONG,16:49:54
BILL-GATES,16:52:30
SHI-HAILONG,16:52:32
BILL-GATES,16:54:11
SHI-HAILONG,16:54:17
BILL-GATES,16:55:13
SHI-HAILONG,16:55:17
JACK-MA,16:55:19
ELON-MUSK,16:55:21
JACK-MA,16:55:25
BILL-GATES,16:55:29
ELON-MUSK,16:56:19
JACK-MA,16:56:23
BILL-GATES,16:56:25
ELON-MUSK,16:56:29
JACK-MA,16:56:31
BILL-GATES,16:56:33
JACK-MA,16:56:35
ELON-MUSK,16:56:37
SHI-HAILONG,16:56:39
ELON-MUSK,16:57:25
SHI-HAILONG,16:57:29
BILL-GATES,16:57:31
JACK-MA,16:57:33
SHI-HAILONG,16:57:39
